word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
19.0,93.0,0,0.0,1.0,0.0,0.13636363636363635,0.0,NORMAL
16.0,102.0,0,0.0,0.0,0.0,-0.5,0.0,NORMAL
27.0,162.0,0,0.0,0.0,0.037037037037037035,0.05555555555555555,0.0,NORMAL
28.0,157.0,0,2.0,0.0,0.0,-0.26041666666666663,1.0,URGENT
10.0,52.0,0,0.0,0.0,0.0,-0.20714285714285707,1.0,URGENT
12.0,58.0,0,0.0,0.0,0.0,0.125,1.0,NORMAL
16.0,83.0,0,0.0,1.0,0.0,0.3333333333333333,0.0,NORMAL
30.0,134.0,0,0.0,1.0,0.0,-0.2,0.0,NORMAL
12.0,77.0,0,0.0,1.0,0.0,0.0,0.0,NORMAL
19.0,107.0,1,0.0,0.0,0.05263157894736842,0.0,0.0,URGENT
22.0,121.0,0,0.0,0.0,0.045454545454545456,0.1,0.0,NORMAL
15.0,84.0,0,0.0,1.0,0.0,0.0,1.0,NORMAL
16.0,96.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
20.0,105.0,0,0.0,1.0,0.0,0.0,0.0,URGENT
17.0,89.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
11.0,58.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
23.0,112.0,1,0.0,0.0,0.0,0.7,0.0,URGENT
16.0,83.0,0,0.0,0.0,0.0,-0.5,0.0,NORMAL
17.0,77.0,0,0.0,0.0,0.058823529411764705,-0.3,0.0,NORMAL
3.0,13.0,0,0.0,0.0,0.0,0.2,0.0,URGENT
18.0,102.0,0,0.0,0.0,0.0,0.675,2.0,NORMAL
24.0,127.0,0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,NORMAL
15.0,82.0,0,0.0,0.0,0.0,-0.25,0.0,URGENT
2.0,8.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
42.0,198.0,0,0.0,0.0,0.023809523809523808,0.16,0.0,NORMAL
